"","time","cpu","usr","sys","iowait","total"
"2878","07:20:01","all",0.72,0.18,0.01,0.91
"2903","07:30:01","all",0.86,0.19,0.01,1.06
"2928","07:40:01","all",0.99,0.2,0.01,1.2
"2953","07:50:01","all",0.78,0.18,0,0.96
"2978","08:00:01","all",0.82,0.18,0.01,1.01
"3003","08:10:01","all",0.8,0.18,0.01,0.99
"3028","08:20:01","all",0.94,0.19,0.01,1.14
"3053","08:30:01","all",0.95,0.19,0.01,1.15
"3078","08:40:01","all",1.06,0.2,0.01,1.27
"3103","08:50:01","all",0.8,0.19,0.01,1
"3128","09:00:01","all",0.8,0.19,0.01,1
"3153","09:10:01","all",0.8,0.19,0.01,1
"3178","09:20:01","all",0.79,0.18,0.02,0.99
"3203","09:30:01","all",0.9,0.2,0.01,1.11
"3229","09:40:01","all",1.02,0.2,0.01,1.23
"3254","09:50:01","all",0.77,0.18,0.01,0.96
"3279","10:00:01","all",0.76,0.19,0.01,0.96
"3304","10:10:01","all",0.82,0.19,0,1.01
"3329","10:20:01","all",0.82,0.19,0.02,1.03
"3354","10:30:01","all",0.72,0.18,0,0.9
"3379","10:40:01","all",0.81,0.18,0,0.99
"3404","10:50:01","all",0.69,0.17,0,0.86
"3429","11:00:01","all",0.69,0.18,0.01,0.88
"3454","11:10:01","all",0.97,0.21,0.01,1.19
"3479","11:20:01","all",0.65,0.18,0.01,0.84
"3504","11:30:01","all",0.84,0.19,0.01,1.04
"3529","11:40:01","all",0.87,0.19,0.02,1.08
"3554","11:50:01","all",0.62,0.17,0.01,0.8
