"","time","ampm","usr","sys","iowait","timestamp","total"
"1","12:10:01","AM",0.71,0.18,0,"12:10:01 AM",0.89
"26","12:20:01","AM",0.63,0.17,0.01,"12:20:01 AM",0.81
"51","12:30:01","AM",0.81,0.18,0.01,"12:30:01 AM",1
"76","12:40:01","AM",0.7,0.17,0.01,"12:40:01 AM",0.88
"101","12:50:01","AM",0.64,0.18,0,"12:50:01 AM",0.82
"126","01:00:01","AM",0.82,0.19,0.01,"01:00:01 AM",1.02
"151","01:10:01","AM",0.73,0.18,0,"01:10:01 AM",0.91
"176","01:20:01","AM",0.63,0.18,0,"01:20:01 AM",0.81
"201","01:30:01","AM",0.96,0.19,0,"01:30:01 AM",1.15
"226","01:40:01","AM",0.58,0.17,0.01,"01:40:01 AM",0.76
"251","01:50:01","AM",0.72,0.17,0.01,"01:50:01 AM",0.9
"276","02:00:01","AM",0.72,0.18,0,"02:00:01 AM",0.9
"301","02:10:01","AM",0.64,0.18,0,"02:10:01 AM",0.82
"326","02:20:01","AM",0.64,0.17,0,"02:20:01 AM",0.81
"351","02:30:01","AM",0.98,0.2,0,"02:30:01 AM",1.18
"376","02:40:01","AM",1,0.2,0,"02:40:01 AM",1.2
"401","02:50:01","AM",0.85,0.18,0.01,"02:50:01 AM",1.04
"426","03:00:01","AM",0.65,0.17,0,"03:00:01 AM",0.82
"451","03:10:01","AM",0.6,0.17,0,"03:10:01 AM",0.77
"476","03:20:01","AM",0.74,0.18,0.01,"03:20:01 AM",0.93
"501","03:30:01","AM",0.52,0.17,0.01,"03:30:01 AM",0.7
"526","03:40:01","AM",0.67,0.18,0.01,"03:40:01 AM",0.86
"551","03:50:01","AM",0.58,0.17,0,"03:50:01 AM",0.75
"576","04:00:01","AM",0.54,0.16,0,"04:00:01 AM",0.7
"601","04:10:01","AM",0.69,0.18,0.01,"04:10:01 AM",0.88
"626","04:20:01","AM",0.57,0.17,0.01,"04:20:01 AM",0.75
