"time","ampm","usr","sys","iowait","timestamp","total"
"12:10:01","AM",0.88,0.19,0.01,"2018-11-26 12:10:01 AM",1.08
"12:20:01","AM",1.06,0.2,0.01,"2018-11-26 12:20:01 AM",1.27
"12:30:01","AM",0.65,0.17,0.01,"2018-11-26 12:30:01 AM",0.83
"12:40:01","AM",0.61,0.17,0.01,"2018-11-26 12:40:01 AM",0.79
"12:50:01","AM",0.64,0.18,0.01,"2018-11-26 12:50:01 AM",0.83
"01:00:01","AM",0.85,0.19,0.01,"2018-11-26 01:00:01 AM",1.05
"01:10:01","AM",0.84,0.19,0.01,"2018-11-26 01:10:01 AM",1.04
"01:20:01","AM",0.65,0.18,0.01,"2018-11-26 01:20:01 AM",0.84
"01:30:02","AM",0.73,0.18,0,"2018-11-26 01:30:02 AM",0.91
"01:40:01","AM",0.69,0.18,0,"2018-11-26 01:40:01 AM",0.87
"01:50:01","AM",0.68,0.17,0.01,"2018-11-26 01:50:01 AM",0.86
"02:00:01","AM",0.59,0.17,0,"2018-11-26 02:00:01 AM",0.76
"02:10:01","AM",0.77,0.18,0,"2018-11-26 02:10:01 AM",0.95
"02:20:01","AM",0.66,0.17,0,"2018-11-26 02:20:01 AM",0.83
"02:30:01","AM",0.77,0.18,0,"2018-11-26 02:30:01 AM",0.95
"02:40:01","AM",0.55,0.17,0,"2018-11-26 02:40:01 AM",0.72
"02:50:01","AM",0.56,0.16,0,"2018-11-26 02:50:01 AM",0.72
"03:00:01","AM",0.82,0.19,0,"2018-11-26 03:00:01 AM",1.01
"03:10:01","AM",0.55,0.17,0,"2018-11-26 03:10:01 AM",0.72
"03:20:01","AM",0.48,0.17,0,"2018-11-26 03:20:01 AM",0.65
"03:30:01","AM",0.62,0.17,0.01,"2018-11-26 03:30:01 AM",0.8
"03:40:01","AM",1.03,0.19,0.01,"2018-11-26 03:40:01 AM",1.23
"03:50:01","AM",0.62,0.17,0,"2018-11-26 03:50:01 AM",0.79
"04:00:01","AM",0.54,0.16,0,"2018-11-26 04:00:01 AM",0.7
"04:10:01","AM",0.56,0.16,0,"2018-11-26 04:10:01 AM",0.72
"04:20:01","AM",0.64,0.17,0,"2018-11-26 04:20:01 AM",0.81
"04:30:01","AM",0.86,0.19,0.01,"2018-11-26 04:30:01 AM",1.06
"04:40:01","AM",0.62,0.18,0.01,"2018-11-26 04:40:01 AM",0.81
"04:50:01","AM",0.59,0.17,0.01,"2018-11-26 04:50:01 AM",0.77
"05:00:01","AM",0.61,0.17,0,"2018-11-26 05:00:01 AM",0.78
"05:10:01","AM",0.8,0.18,0,"2018-11-26 05:10:01 AM",0.98
