"","time","ampm","usr","sys","iowait","timestamp","total"
"1","12:10:01","AM",0.72,0.18,0.01,"12:10:01 AM",0.91
"26","12:20:01","AM",0.78,0.18,0.01,"12:20:01 AM",0.97
"51","12:30:01","AM",0.72,0.18,0.01,"12:30:01 AM",0.91
"76","12:40:01","AM",0.8,0.19,0.01,"12:40:01 AM",1
"101","12:50:01","AM",0.71,0.18,0.01,"12:50:01 AM",0.9
"126","01:00:01","AM",0.61,0.17,0,"01:00:01 AM",0.78
"151","01:10:01","AM",0.63,0.18,0.01,"01:10:01 AM",0.82
"176","01:20:01","AM",0.74,0.19,0.01,"01:20:01 AM",0.94
"201","01:30:01","AM",0.72,0.18,0.01,"01:30:01 AM",0.91
"226","01:40:01","AM",0.63,0.18,0.01,"01:40:01 AM",0.82
"251","01:50:01","AM",0.73,0.18,0.02,"01:50:01 AM",0.93
"276","02:00:01","AM",0.79,0.19,0.01,"02:00:01 AM",0.99
"301","02:10:01","AM",0.74,0.19,0.02,"02:10:01 AM",0.95
"326","02:20:01","AM",0.69,0.18,0.02,"02:20:01 AM",0.89
"351","02:30:01","AM",0.68,0.18,0.01,"02:30:01 AM",0.87
"376","02:40:01","AM",0.87,0.2,0.01,"02:40:01 AM",1.08
"401","02:50:01","AM",0.69,0.18,0.01,"02:50:01 AM",0.88
"426","03:00:01","AM",0.6,0.18,0.01,"03:00:01 AM",0.79
"451","03:10:01","AM",0.62,0.18,0.01,"03:10:01 AM",0.81
"476","03:20:01","AM",0.77,0.19,0.01,"03:20:01 AM",0.97
"501","03:30:01","AM",0.58,0.17,0.01,"03:30:01 AM",0.76
"526","03:40:01","AM",0.7,0.18,0.01,"03:40:01 AM",0.89
"551","03:50:01","AM",0.62,0.18,0.02,"03:50:01 AM",0.82
"576","04:00:01","AM",0.59,0.18,0.02,"04:00:01 AM",0.79
"601","04:10:01","AM",0.68,0.18,0.01,"04:10:01 AM",0.87
"626","04:20:01","AM",0.64,0.17,0.03,"04:20:01 AM",0.84
"651","04:30:01","AM",0.73,0.19,0.01,"04:30:01 AM",0.93
"676","04:40:01","AM",0.7,0.19,0.01,"04:40:01 AM",0.9
"701","04:50:01","AM",0.9,0.2,0.01,"04:50:01 AM",1.11
"726","05:00:01","AM",0.72,0.19,0.01,"05:00:01 AM",0.92
"751","05:10:01","AM",0.77,0.18,0.01,"05:10:01 AM",0.96
"776","05:20:01","AM",0.79,0.19,0,"05:20:01 AM",0.98
"801","05:30:01","AM",0.67,0.18,0.01,"05:30:01 AM",0.86
"826","05:40:01","AM",0.74,0.19,0,"05:40:01 AM",0.93
"851","05:50:01","AM",0.71,0.18,0,"05:50:01 AM",0.89
"876","06:00:01","AM",0.85,0.19,0.01,"06:00:01 AM",1.05
"901","06:10:01","AM",0.75,0.18,0.01,"06:10:01 AM",0.94
"926","06:20:01","AM",0.84,0.19,0,"06:20:01 AM",1.03
"951","06:30:01","AM",0.76,0.18,0,"06:30:01 AM",0.94
"976","06:40:01","AM",0.75,0.19,0.01,"06:40:01 AM",0.95
"1001","06:50:01","AM",0.85,0.19,0.01,"06:50:01 AM",1.05
"1026","07:00:01","AM",0.85,0.19,0.01,"07:00:01 AM",1.05
"1051","07:10:01","AM",1,0.21,0.01,"07:10:01 AM",1.22
"1077","07:20:01","AM",0.89,0.2,0.01,"07:20:01 AM",1.1
"1102","07:30:01","AM",0.99,0.2,0.01,"07:30:01 AM",1.2
"1127","07:40:01","AM",1,0.21,0.01,"07:40:01 AM",1.22
"1152","07:50:01","AM",1.16,0.21,0.01,"07:50:01 AM",1.38
"1177","08:00:01","AM",1.43,0.25,0.02,"08:00:01 AM",1.7
"1202","08:10:01","AM",1.61,0.26,0.03,"08:10:01 AM",1.9
"1227","08:20:01","AM",1.85,0.28,0.02,"08:20:01 AM",2.15
"1252","08:30:01","AM",1.8,0.29,0.03,"08:30:01 AM",2.12
"1277","08:40:01","AM",2.03,0.31,0.03,"08:40:01 AM",2.37
"1302","08:50:01","AM",2.49,0.34,0.04,"08:50:01 AM",2.87
"1327","09:00:01","AM",2.52,0.34,0.04,"09:00:01 AM",2.9
